prompt,output
"Frame: Vote

Sentence: Ann Kirkpatrick votes with her party nearly 90 percent of the time .

Frame Elements:
- Agent: Ann Kirkpatrick
- Side: with her party
- Support_rate: nearly 90 percent of the time

New order of frame elements: Support_rate, Agent, Side

","Nearly 90 percent of the time, Ann Kirkpatrick votes with her party."
"Frame: Vote

Sentence: Ann Kirkpatrick votes with her party nearly 90 percent of the time .

Frame Elements:
- Agent: Ann Kirkpatrick
- Side: with her party
- Support_rate: nearly 90 percent of the time

New order of frame elements: Support_rate, Side, Agent

","Nearly 90 percent of the time, with her party, Ann Kirkpatrick votes."
"Frame: Vote

Sentence: Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .

Frame Elements:
- Agent: Bernie Sanders
- Side: with Republicans
- Issue: to protect the Minutemen

New order of frame elements: Agent, Issue, Side

","Bernie Sanders, to protect the Minutemen, a hate group that used military tactics against our community, voted with Republicans."
"Frame: Vote

Sentence: Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .

Frame Elements:
- Agent: Bernie Sanders
- Side: with Republicans
- Issue: to protect the Minutemen

New order of frame elements: Issue, Agent, Side

","To protect the Minutemen, Bernie Sanders voted with Republicans, a hate group that used military tactics against our community."
"Frame: Vote

Sentence: Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .

Frame Elements:
- Agent: Bernie Sanders
- Side: with Republicans
- Issue: to protect the Minutemen

New order of frame elements: Issue, Side, Agent

","To protect the Minutemen, Bernie Sanders sided with Republicans, voting for a hate group that used military tactics against our community."
"Frame: Vote

Sentence: Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .

Frame Elements:
- Agent: Bernie Sanders
- Side: with Republicans
- Issue: to protect the Minutemen

New order of frame elements: Side, Agent, Issue

","With Republicans, Bernie Sanders voted to protect the Minutemen, a hate group that used military tactics against our community."
"Frame: Vote

Sentence: Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .

Frame Elements:
- Agent: Bernie Sanders
- Side: with Republicans
- Issue: to protect the Minutemen

New order of frame elements: Side, Issue, Agent

","With Republicans to protect the Minutemen, Bernie Sanders voted, a hate group that used military tactics against our community."
"Frame: Vote

Sentence: After taking hundreds of thousands of dollars from Goldman Sachs and other Wall Street banks , Debbie Wasserman Schultz has voted to prevent the Consumer Financial Protection Bureau from regulating payday loans and addressing racial discrimination in car loans .

Frame Elements:
- Agent: Debbie Wasserman Schultz
- Issue: to prevent the Consumer Financial Protection Bureau from regulating payday loans and addressing racial discrimination in car loans

New order of frame elements: Issue, Agent

","To prevent the Consumer Financial Protection Bureau from regulating payday loans and addressing racial discrimination in car loans, Debbie Wasserman Schultz has voted after taking hundreds of thousands of dollars from Goldman Sachs and other Wall Street banks."
"Frame: Vote

Sentence: Debbie Wasserman Schultz voted repeatedly to send terminally ill patients to prison .

Frame Elements:
- Agent: Debbie Wasserman Schultz
- Issue: to send terminally ill patients to prison

New order of frame elements: Issue, Agent

","To send terminally ill patients to prison, Debbie Wasserman Schultz voted repeatedly."
"Frame: Vote

Sentence: Patrick Murphy is one of only three Democrats in the House today who voted to create the Benghazi committee .

Frame Elements:
- Agent: who
- Issue: to create the Benghazi committee

New order of frame elements: Issue, Agent

","To create the Benghazi committee, Patrick Murphy is one of only three Democrats in the House today who voted."
"Frame: Vote

Sentence: Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .

Frame Elements:
- Agent: Renee Ellmers
- Position: against
- Issue: an amendment to prioritize the deportation of sexual criminals who are illegal immigrants

New order of frame elements: Agent, Issue, Position

","Renee Ellmers, an amendment to prioritize the deportation of sexual criminals who are illegal immigrants, was the only Republican she voted against."
"Frame: Vote

Sentence: Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .

Frame Elements:
- Agent: Renee Ellmers
- Position: against
- Issue: an amendment to prioritize the deportation of sexual criminals who are illegal immigrants

New order of frame elements: Issue, Agent, Position

","An amendment to prioritize the deportation of sexual criminals who are illegal immigrants was voted against by Renee Ellmers, who was the only Republican."
"Frame: Vote

Sentence: Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .

Frame Elements:
- Agent: Renee Ellmers
- Position: against
- Issue: an amendment to prioritize the deportation of sexual criminals who are illegal immigrants

New order of frame elements: Issue, Position, Agent

",An amendment to prioritize the deportation of sexual criminals who are illegal immigrants was voted against by Renee Ellmers.
"Frame: Vote

Sentence: Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .

Frame Elements:
- Agent: Renee Ellmers
- Position: against
- Issue: an amendment to prioritize the deportation of sexual criminals who are illegal immigrants

New order of frame elements: Position, Agent, Issue

","Against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants, Renee Ellmers was the only Republican to vote."
"Frame: Vote

Sentence: Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .

Frame Elements:
- Agent: Renee Ellmers
- Position: against
- Issue: an amendment to prioritize the deportation of sexual criminals who are illegal immigrants

New order of frame elements: Position, Issue, Agent

","Against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants, Renee Ellmers was the only Republican to vote."
"Frame: Vote

Sentence: Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .

Frame Elements:
- Agent: he
- Position: against
- Issue: it

New order of frame elements: Agent, Issue, Position

","He voted against the Dream Act after telling dreamers that he'll support it, Sen. John McCain."
"Frame: Vote

Sentence: Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .

Frame Elements:
- Agent: he
- Position: against
- Issue: it

New order of frame elements: Issue, Agent, Position

","The Dream Act, Sen. John McCain voted against it after telling dreamers that he'll support it."
"Frame: Vote

Sentence: Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .

Frame Elements:
- Agent: he
- Position: against
- Issue: it

New order of frame elements: Issue, Position, Agent

","The Dream Act, he voted against it, after telling dreamers that he 'll support it, Sen. John McCain."
"Frame: Vote

Sentence: Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .

Frame Elements:
- Agent: he
- Position: against
- Issue: it

New order of frame elements: Position, Agent, Issue

","Against the Dream Act, Sen. John McCain told dreamers that he'll support it, then he voted against it."
"Frame: Vote

Sentence: Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .

Frame Elements:
- Agent: he
- Position: against
- Issue: it

New order of frame elements: Position, Issue, Agent

","Against the Dream Act, Sen. John McCain told dreamers that he'll support it, then he voted against it."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Agent, Issue, Side, Support_rate

",Congressman Joe Heck has voted on a variety of important issues with Nancy Pelosi and the Democrats 62 percent of the time.
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Agent, Issue, Support_rate, Side

",Congressman Joe Heck has voted on a variety of important issues 62 percent of the time with Nancy Pelosi and the Democrats.
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Agent, Side, Issue, Support_rate

",Congressman Joe Heck has voted with Nancy Pelosi and the Democrats on a variety of important issues 62 percent of the time.
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Agent, Side, Support_rate, Issue

",Congressman Joe Heck has voted with Nancy Pelosi and the Democrats on a variety of important issues 62 percent of the time.
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Agent, Support_rate, Issue, Side

",Congressman Joe Heck has voted with Nancy Pelosi and the Democrats on a variety of important issues 62 percent of the time.
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Issue, Agent, Side, Support_rate

","On a variety of important issues, Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Issue, Agent, Support_rate, Side

","On a variety of important issues, Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Issue, Side, Agent, Support_rate

","On a variety of important issues, with Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time. "
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Issue, Side, Support_rate, Agent

","On a variety of important issues, with Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Issue, Support_rate, Agent, Side

","On a variety of important issues, Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Issue, Support_rate, Side, Agent

","On a variety of important issues, Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Side, Agent, Issue, Support_rate

","With Nancy Pelosi and the Democrats, Congressman Joe Heck has voted on a variety of important issues 62 percent of the time."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Side, Agent, Support_rate, Issue

","With Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time on a variety of important issues."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Side, Issue, Agent, Support_rate

","With Nancy Pelosi and the Democrats on a variety of important issues, Congressman Joe Heck has voted 62 percent of the time."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Side, Issue, Support_rate, Agent

","With Nancy Pelosi and the Democrats on a variety of important issues, Congressman Joe Heck has voted 62 percent of the time."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Side, Support_rate, Agent, Issue

","With Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time on a variety of important issues."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Side, Support_rate, Issue, Agent

","With Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time on a variety of important issues."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Support_rate, Agent, Issue, Side

","62 percent of the time, Congressman Joe Heck has voted on a variety of important issues with Nancy Pelosi and the Democrats."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Support_rate, Agent, Side, Issue

","62 percent of the time, Congressman Joe Heck has voted with Nancy Pelosi and the Democrats on a variety of important issues."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Support_rate, Issue, Agent, Side

","62 percent of the time on a variety of important issues, Congressman Joe Heck has voted with Nancy Pelosi and the Democrats."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Support_rate, Issue, Side, Agent

",62 percent of the time on a variety of important issues with Nancy Pelosi and the Democrats has Congressman Joe Heck voted.
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Support_rate, Side, Agent, Issue

","62 percent of the time, with Nancy Pelosi and the Democrats, Congressman Joe Heck has voted on a variety of important issues."
"Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Support_rate, Side, Issue, Agent

","62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues , Congressman Joe Heck has voted."
"Frame: Vote

Sentence: Ron Johnson voted to turn Medicare into a voucher program .

Frame Elements:
- Agent: Ron Johnson
- Issue: to turn Medicare into a voucher program

New order of frame elements: Issue, Agent

","To turn Medicare into a voucher program, Ron Johnson voted."
"Frame: Vote

Sentence: Nevada lawmakers voted to allow teenaged boys to shower with your teenaged girls in public school locker rooms .

Frame Elements:
- Agent: Nevada lawmakers
- Issue: to allow teenaged boys to shower with your teenaged girls in public school locker rooms

New order of frame elements: Issue, Agent

","To allow teenaged boys to shower with your teenaged girls in public school locker rooms, Nevada lawmakers voted."
"Frame: Vote

Sentence: Sen. Bennet votes with Obama 98 percent of the time .

Frame Elements:
- Agent: Sen. Bennet
- Side: with Obama
- Support_rate: 98 percent of the time

New order of frame elements: Agent, Support_rate, Side

",Sen. Bennet votes 98 percent of the time with Obama.
"Frame: Vote

Sentence: Sen. Bennet votes with Obama 98 percent of the time .

Frame Elements:
- Agent: Sen. Bennet
- Side: with Obama
- Support_rate: 98 percent of the time

New order of frame elements: Side, Agent, Support_rate

","With Obama, Sen. Bennet votes 98 percent of the time."
"Frame: Vote

Sentence: Sen. Bennet votes with Obama 98 percent of the time .

Frame Elements:
- Agent: Sen. Bennet
- Side: with Obama
- Support_rate: 98 percent of the time

New order of frame elements: Side, Support_rate, Agent

","With Obama 98 percent of the time, Sen. Bennet votes."
"Frame: Vote

Sentence: Sen. Bennet votes with Obama 98 percent of the time .

Frame Elements:
- Agent: Sen. Bennet
- Side: with Obama
- Support_rate: 98 percent of the time

New order of frame elements: Support_rate, Agent, Side

",98 percent of the time Sen. Bennet votes with Obama.
"Frame: Vote

Sentence: Sen. Bennet votes with Obama 98 percent of the time .

Frame Elements:
- Agent: Sen. Bennet
- Side: with Obama
- Support_rate: 98 percent of the time

New order of frame elements: Support_rate, Side, Agent

","98 percent of the time, with Obama, Sen. Bennet votes."
"Frame: Vote

Sentence: Did not vote for tax increases as a member of the West Miami City Commission .

Frame Elements:
- Position: for
- Issue: tax increases
- Agent: a member of the West Miami City Commission

New order of frame elements: Agent, Issue, Position

","As a member of the West Miami City Commission, did not vote for tax increases."
"Frame: Vote

Sentence: Did not vote for tax increases as a member of the West Miami City Commission .

Frame Elements:
- Position: for
- Issue: tax increases
- Agent: a member of the West Miami City Commission

New order of frame elements: Agent, Position, Issue

","As a member of the West Miami City Commission, did not vote for tax increases."
"Frame: Vote

Sentence: Did not vote for tax increases as a member of the West Miami City Commission .

Frame Elements:
- Position: for
- Issue: tax increases
- Agent: a member of the West Miami City Commission

New order of frame elements: Issue, Agent, Position

","As a member of the West Miami City Commission, did not vote for tax increases."
"Frame: Vote

Sentence: Did not vote for tax increases as a member of the West Miami City Commission .

Frame Elements:
- Position: for
- Issue: tax increases
- Agent: a member of the West Miami City Commission

New order of frame elements: Issue, Position, Agent

","As a member of the West Miami City Commission, did not vote for tax increases."
"Frame: Vote

Sentence: Did not vote for tax increases as a member of the West Miami City Commission .

Frame Elements:
- Position: for
- Issue: tax increases
- Agent: a member of the West Miami City Commission

New order of frame elements: Position, Agent, Issue

","As a member of the West Miami City Commission, did not vote for tax increases."
"Frame: Vote

Sentence: British voters under 50 , especially millennials , overwhelmingly voted to stay , in the European Union .

Frame Elements:
- Agent: British voters under 50
- Issue: to stay , in the European Union

New order of frame elements: Issue, Agent

","In the European Union , British voters under 50 , especially millennials , overwhelmingly voted to stay."
"Frame: Vote

Sentence: It was older voters who voted to leave .

Frame Elements:
- Agent: older voters who
- Issue: to leave

New order of frame elements: Issue, Agent

",To leave was older voters who voted.
"Frame: Vote

Sentence: While serving in the city council , Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China .

Frame Elements:
- Time: While serving in the city council
- Agent: Rachel Zenzinger
- Issue: to use tax dollars to take a taxpayer-funded junket to China

New order of frame elements: Agent, Issue, Time

",Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China while serving in the city council.
"Frame: Vote

Sentence: While serving in the city council , Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China .

Frame Elements:
- Time: While serving in the city council
- Agent: Rachel Zenzinger
- Issue: to use tax dollars to take a taxpayer-funded junket to China

New order of frame elements: Agent, Time, Issue

",Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China while serving in the city council.
"Frame: Vote

Sentence: While serving in the city council , Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China .

Frame Elements:
- Time: While serving in the city council
- Agent: Rachel Zenzinger
- Issue: to use tax dollars to take a taxpayer-funded junket to China

New order of frame elements: Issue, Agent, Time

","To use tax dollars to take a taxpayer-funded junket to China , Rachel Zenzinger voted while serving in the city council."
"Frame: Vote

Sentence: While serving in the city council , Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China .

Frame Elements:
- Time: While serving in the city council
- Agent: Rachel Zenzinger
- Issue: to use tax dollars to take a taxpayer-funded junket to China

New order of frame elements: Issue, Time, Agent

","To use tax dollars to take a taxpayer-funded junket to China , while serving in the city council, Rachel Zenzinger voted."
"Frame: Vote

Sentence: While serving in the city council , Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China .

Frame Elements:
- Time: While serving in the city council
- Agent: Rachel Zenzinger
- Issue: to use tax dollars to take a taxpayer-funded junket to China

New order of frame elements: Time, Issue, Agent

","While serving in the city council, to take a taxpayer-funded junket to China, Rachel Zenzinger voted to use tax dollars."
