sentence,frame,target,Agent,Issue,Side,Position,Frequency,Time,Place,Support_rate
"Mike Pence voted against expanding the Children 's Health Insurance program , which Hillary helped to start .",Vote,voted,"(0, 10)","(25, 75)",,"(17, 24)",,,,
"Mike Pence voted against expanding the Children 's Health Insurance program , which Hillary helped to start .",Vote,voted,"(0, 10)","(25, 101)",,"(17, 24)",,,,
"Mike Pence voted against expanding the Children 's Health Insurance program , which Hillary helped to start .",Vote,voted,"(0, 10)","(17, 32)",,,,,,
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment .,Vote,voted,"(0, 10)","(25, 75)",,"(17, 24)",,,,
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment .,Vote,voted,"(0, 10)","(25, 101)",,"(17, 24)",,,,
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment .,Vote,voted,"(0, 10)","(17, 32)",,,,,,
Mike Pence voted to end Medicare as we know it .,Vote,voted,"(0, 10)","(25, 75)",,"(17, 24)",,,,
Mike Pence voted to end Medicare as we know it .,Vote,voted,"(0, 10)","(25, 101)",,"(17, 24)",,,,
Mike Pence voted to end Medicare as we know it .,Vote,voted,"(0, 10)","(17, 32)",,,,,,
U.S. Sen. Johnny Isakson has voted for $ 7 trillion of our national debt !,Vote,voted,"(0, 24)","(39, 72)",,"(35, 38)",,,,
"Kim Myers voted repeatedly to raise taxes on the people of Broome County , but made millions off of tax savings when her family business relocated its headquarters .",Vote,voted,"(0, 9)","(27, 72)",,,,,,
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,Vote,voted,"(0, 27)","(51, 86)",,"(43, 50)","(34, 42)",,,
"Hillary Clinton voted to raise taxes on workers earning as little as $ 41,500 .",Vote,voted,"(0, 15)","(22, 77)",,,,,,
U.S. Rep. Bruce Poliquin voted to force seniors to pay more for prescription drugs .,Vote,voted,"(0, 24)","(31, 82)",,,,,,
Tom Reed has actually voted for every single trade deal that has ever come before him in any form .,Vote,voted,"(0, 8)","(32, 97)",,"(28, 31)",,,,
"Joe Heck voted 10 times to defund Planned Parenthood and Heck opposes a woman 's right to choose , even when her health is at risk .",Vote,voted,"(0, 8)","(24, 52)",,,"(15, 23)",,,
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,Vote,voted,"(0, 11)","(33, 92)",,"(29, 32)","(18, 28)",,,
Marco Rubio voted against funding health clinics that provide critical care during this public health emergency Zika .,Vote,voted,"(0, 11)","(26, 116)",,"(18, 25)",,,,
everybody just took then Senator Barack Obama at his word in 2008 when he said he would have voted against invading Iraq .,Vote,voted,"(79, 81)","(107, 120)",,"(99, 106)",,,,
Patrick Murphy is the only candidate to have voted against every measure to fund Zika .,Vote,voted,"(0, 14)","(59, 85)",,"(51, 58)",,,,
Russ Feingold was the only senator to vote against Homeland Security .,Vote,vote,"(0, 13)","(51, 68)",,"(43, 50)",,,,
Marco Rubio voted against every bill that would have helped keep our families safe .,Vote,voted,"(0, 11)","(32, 82)",,"(18, 25)",,,,
"He even voted against a bipartisan measure , introduced by a Republican , to prevent people on the no-fly list from purchasing guns .",Vote,voted,"(0, 2)","(22, 131)",,"(14, 21)",,,,
Marco Rubio voted to slash school funding by billions of dollars and would eliminate the Department of Education .,Vote,voted,"(0, 11)","(18, 64)",,,,,,
Rob Portman even voted to allow people on the terrorism watch list to buy guns .,Vote,voted,"(0, 11)","(23, 78)",,,,,,
Miami Congressman Carlos Curbelo supports drilling offshore and repeatedly voted against President Obama 's ability to fight pollution and combat climate change .,Vote,voted,"(0, 32)","(89, 160)",,"(81, 88)",,,,
She voted for a statewide fracking ban .,Vote,voted,"(0, 3)","(14, 38)",,"(10, 13)",,,,
"Rob Portman voted for the bipartisan bill to affirm climate change is real , humans significantly contribute to it and it needs to be addressed .",Vote,voted,"(0, 11)","(22, 143)",,"(18, 21)",,,,
"In Washington , D.C. , Sen. Richard Burr took millions from special interests , went there and cashed in , voted to cut his own taxes and raise taxes on working folks .",Vote,voted,"(23, 40)","(113, 166)",,,,,,
Colorado congressional candidate Morgan Carroll voted to allow welfare recipients to use your tax dollars at ATMs at strip clubs and pot dispensaries .,Vote,voted,"(0, 47)","(54, 149)",,,,,,
And Tammy Duckworth voted yes on the Iran nuclear deal .,Vote,voted,"(4, 19)","(30, 54)",,"(26, 29)",,,,
"Sen. Johnny Isakson voted for a trade agreement , with China costing Georgia 93,000 jobs .",Vote,voted,"(0, 19)","(30, 88)",,"(26, 29)",,,,
Sen. Richard Burr voted no on the Violence Against Women Act .,Vote,voted,"(0, 17)","(27, 60)",,"(24, 26)",,,,
"During his 18-year Senate career , Russ Feingold supported judges who voted to deny your individual Second Amendment right .",Vote,voted,"(59, 65)","(76, 122)",,,,,,
"When Rachel Zenzinger was on the Arvada City Council , she voted to spend taxpayer funds for a junket to China .",Vote,voted,"(55, 58)","(65, 110)",,,,,,
Joe Heck voted to shut down the government .,Vote,voted,"(0, 8)","(15, 42)",,,,,,
Democratic U.S. Senate candidate Russ Feingold voted over 250 times to raise taxes .,Vote,voted,"(0, 46)","(68, 82)",,,"(53, 67)",,,
Jack Berry voted for a plan to cut $ 23.8 million from our schools .,Vote,voted,"(0, 10)","(21, 66)",,"(17, 20)",,,,
Chris Koster opposed protecting the women of Missouri because he was one of only four senators to vote against a bill ending the practice of making rape victims pay for their own rape kits .,Vote,vote,"(62, 64)","(111, 188)",,"(103, 110)",,,,
"Russ Feingold voted to raise taxes on Social Security benefits for seniors , he even tried to give Social Security benefits to illegal immigrants .",Vote,voted,"(0, 13)","(20, 74)",,,,,,
Donald Trump and Ron Johnson oppose a woman 's right to choose and Johnson voted against the Violence Against Women Act .,Vote,voted,"(67, 74)","(89, 119)",,"(81, 88)",,,,
Richard Burr voted to protect tax breaks for companies that ship jobs overseas but voted against a tax break to help working people .,Vote,voted,"(0, 12)","(19, 78)",,,,,,
Richard Burr voted to protect tax breaks for companies that ship jobs overseas but voted against a tax break to help working people .,Vote,voted,"(0, 12)","(97, 131)",,"(89, 96)",,,,
Roy Blunt voted to raise his own pay 12 times while in Congress .,Vote,voted,"(0, 9)","(16, 36)",,,"(37, 45)","(46, 63)",,
"Democrat Stephen Webber voted to allow sex offenders to be within 500 feet of childcare centers and playgrounds , and even voted to allow sex offenders to be coaches .",Vote,voted,"(0, 23)","(30, 111)",,,,,,
"Democrat Stephen Webber voted to allow sex offenders to be within 500 feet of childcare centers and playgrounds , and even voted to allow sex offenders to be coaches .",Vote,voted,"(0, 23)","(129, 165)",,,,,,
"For the tens of millions of Americans who will lose their health care if the ACA is repealed , I vote no .",Vote,vote,"(95, 96)","(73, 80)",,"(102, 104)",,,,
Thirteen Democratic senators voted against cheaper medicines and took millions from big pharma since 2011 .,Vote,voted,"(0, 28)","(43, 60)",,"(35, 42)",,,,
215 members of Congress just voted to let your ISP spy on what type of underwear you buy and sell that data to advertisers .,Vote,voted,"(0, 23)","(35, 122)",,,,,,
"Judge Neil Gorsuch 's record on the 10th U.S . Circuit Court of Appeals falls well within the mainstream , because he 's voted with a majority 99 percent of the time and roughly 97 percent of the cases he has participated in were decided unanimously .",Vote,voted,"(115, 117)",,"(127, 142)",,,,,"(143, 165)"
They voted for a border wall in 2006 .,Vote,voted,"(0, 4)","(15, 28)",,"(11, 14)",,"(29, 36)",,
Then-Senator Obama voted for it .,Vote,voted,"(0, 18)","(29, 31)",,"(25, 28)",,,,
Sen. Schumer voted for it .,Vote,voted,"(0, 12)","(23, 25)",,"(19, 22)",,,,
Sen. Clinton voted for it .,Vote,voted,"(0, 12)","(23, 25)",,"(19, 22)",,,,
They voted for it in 2006 .,Vote,voted,"(0, 4)","(15, 17)",,"(11, 14)",,"(18, 25)",,
U.S. Rep. Carlos Curbelo voted for a health care bill that will let insurance companies charge five times more for people over 50 .,Vote,voted,"(0, 24)","(35, 129)",,"(31, 34)",,,,
He has in the past Sen. Nelson votes with Warren 90 percent of the time .,Vote,votes,"(19, 30)",,"(37, 48)",,,,,"(49, 71)"
"Barack Obama , Chuck Schumer and Hillary Clinton all voted for a border wall as senators .",Vote,voted,"(0, 48)","(63, 76)",,"(59, 62)",,,,
"Just to give you an idea of how far away America is from actual gun control , this week Congress is going to vote on deregulating gun silencers .",Vote,vote,"(88, 96)","(114, 143)",,,,"(78, 87)",,
Stacey Evans voted for school vouchers in the beginning .,Vote,voted,"(0, 12)","(23, 38)",,"(19, 22)",,"(39, 55)",,
Tammy Baldwin voted for $ 5 trillion in higher taxes .,Vote,voted,"(0, 13)","(24, 52)",,"(20, 23)",,,,
Yet the @ HouseGOP just voted to do exactly that .,Vote,voted,"(4, 18)","(30, 48)",,,,,,
Democratic lawmakers who voted in favor of short-term spending bills just voted to deport Dreamers .,Vote,voted,"(0, 20)","(43, 68)",,"(31, 42)",,,,
Democratic lawmakers who voted in favor of short-term spending bills just voted to deport Dreamers .,Vote,voted,"(0, 20)","(80, 98)",,,,,,
Heitkamp has voted against Trump 68 percent of time .,Vote,voted,"(0, 8)",,"(27, 32)","(19, 26)",,,,"(33, 51)"
In 2005 or 2006 U.S. Sen. Chuck Schumer voted for the wall .,Vote,voted,"(16, 39)","(50, 58)",,"(46, 49)",,"(0, 15)",,
"In the Senate , Mike DeWine voted with Hillary Clinton to let illegal immigrants receive Social Security .",Vote,voted,"(16, 27)","(55, 104)","(34, 54)",,,,"(0, 13)",
Congresswoman Martha McSally voted to let companies sell your internet data to the highest bidder without your consent .,Vote,voted,"(0, 28)","(35, 118)",,,,,,
Republican Rep. Todd Rokita of Indiana voted against Trump 's border wall .,Vote,voted,"(0, 38)","(53, 73)",,"(45, 52)",,,,
I am the only one onstage who has never voted to raise your taxes .,Vote,voted,"(0, 1)","(46, 65)",,,"(34, 39)",,,
Mitch McConnell was one of the few senators that voted after Tiananmen Square not to have punitive actions against China for human rights violations .,Vote,voted,"(0, 15)","(78, 148)",,,,"(55, 77)",,
Bill Nelson voted against requiring Iran to recognize Israel and release American hostages .,Vote,voted,"(0, 11)","(26, 90)",,"(18, 25)",,,,
Luke Messer and Todd Rokita voted to fast-track Obama 's trade deals .,Vote,voted,"(0, 27)","(34, 68)",,,,,,
Dean Heller has voted for a GOP bill that funded efforts to revive Yucca Mountain .,Vote,voted,"(0, 11)","(26, 81)",,"(22, 25)",,,,
Gwen Graham voted against President Obama 52 percent of the time .,Vote,voted,"(0, 11)",,"(26, 41)","(18, 25)",,,,"(42, 64)"
Jim Renacci has been a lobbyist even while in Congress and voted to make it easier for lobbyists to hold key government positions and harder to investigate conflicts of interest .,Vote,voted,"(0, 11)","(65, 177)",,,,,,
Rep. Dan Donovan voted for Tax Cuts .,Vote,voted,"(0, 16)","(27, 35)",,"(23, 26)",,,,
Marsha Blackburn voted against military pay raise .,Vote,voted,"(0, 16)","(31, 49)",,"(23, 30)",,,,
Sherrod Brown in 1978 voted for stricter removal standards for voter registration and then enforced them as Secretary of State .,Vote,voted,"(0, 13)","(32, 81)",,"(28, 31)",,"(14, 21)",,
Ron DeSantis voted in an agricultural bill to give food stamps to illegal immigrants .,Vote,voted,"(0, 12)","(19, 84)",,,,,,
Sen. Bill Nelson voted for higher taxes 349 times .,Vote,voted,"(0, 16)","(27, 39)",,"(23, 26)","(40, 49)",,,
Claire McCaskill voted for 100 percent of President Obama 's judicial nominees .,Vote,voted,"(0, 16)","(27, 78)",,"(23, 26)",,,,
"President Trump proposed the increase to $ 700 billion to our military budget , which included the 355-ship Navy , which included a military pay increase , a modest one , which included , a yet even more modest housing allowance , but yet Sen. Tim Kaine even voted against giving more money to our men and women who are in the military service and against our housing allowance .",Vote,voted,"(239, 253)","(273, 343)",,"(265, 272)",,,,
"Sherrod Brown votes 97 percent with Chuck Schumer , almost 95 plus percent with Elizabeth Warren .",Vote,votes,"(0, 13)",,"(75, 96)",,,,,"(52, 74)"
I 've always voted for keeping the government open .,Vote,voted,"(0, 1)","(23, 50)",,"(19, 22)",,,,
Congressman DeSantis voted to cut Social Security and Medicare and voted to increase the retirement age .,Vote,voted,"(0, 20)","(27, 62)",,,,,,
Congressman DeSantis voted to cut Social Security and Medicare and voted to increase the retirement age .,Vote,voted,"(0, 20)","(73, 103)",,,,,,
Bernie Sanders voted against the money that ended up saving the auto industry because he was against the auto bailout.,Vote,"(15, 20)","(0, 14)","(29, 77)",,"(21, 28)",,,,
"The money that ended up saving the auto industry was voted against by Bernie Sanders, who was against the auto bailout.",Vote,"(53, 58)","(70, 84)","(0, 48)",,"(59, 66)",,,,
The money that ended up saving the auto industry was what Bernie Sanders was against and voted against.,Vote,"(89, 94)","(58, 72)","(0, 48)",,"(77, 84)",,,,
"Against the money that ended up saving the auto industry, Bernie Sanders was against and voted.",Vote,"(89, 94)","(58, 72)","(8, 56)",,"(0, 7)",,,,
"Against the money that ended up saving the auto industry, Bernie Sanders was against the auto bailout and voted.",Vote,"(106, 111)","(58, 72)","(8, 56)",,"(0, 7)",,,,
"He voted against creating a House panel to investigate Planned Parenthood, despite being the only Republican.",Vote,"(3, 8)","(0, 2)","(17, 73)",,"(9, 16)",,,,
"Creating a House panel to investigate Planned Parenthood, he was the only Republican to vote against.",Vote,"(88, 92)","(58, 60)","(0, 56)",,"(93, 100)",,,,
"Creating a House panel to investigate Planned Parenthood was voted against by him, the only Republican.",Vote,"(61, 66)","(84, 86)","(0, 56)",,"(67, 74)",,,,
"Against creating a House panel to investigate Planned Parenthood, he was the only Republican to vote.",Vote,"(96, 100)","(66, 68)","(8, 64)",,"(0, 7)",,,,
"Ann Kirkpatrick, nearly 90 percent of the time, votes with her party.",Vote,"(48, 53)","(0, 15)",,"(54, 68)",,,,,"(17, 46)"
"Nearly 90 percent of the time, Ann Kirkpatrick votes with her party.",Vote,"(47, 52)","(31, 46)",,"(53, 67)",,,,,"(0, 29)"
"With her party nearly 90 percent of the time, Ann Kirkpatrick votes.",Vote,"(62, 67)","(46, 61)",,"(0, 14)",,,,,"(15, 44)"
"Nearly 90 percent of the time, with her party, Ann Kirkpatrick votes.",Vote,"(63, 68)","(47, 62)",,"(31, 45)",,,,,"(0, 29)"
"Bernie Sanders, to protect the Minutemen, a hate group that used military tactics against our community, voted with Republicans.",Vote,"(105, 110)","(0, 14)","(16, 40)","(111, 127)",,,,,
"To protect the Minutemen, Bernie Sanders voted with Republicans, a hate group that used military tactics against our community.",Vote,"(41, 46)","(26, 40)","(0, 24)","(47, 63)",,,,,
"To protect the Minutemen, Bernie Sanders sided with Republicans, voting for a hate group that used military tactics against our community.",Vote,"(65, 71)","(26, 40)","(0, 24)","(47, 63)",,,,,
"With Republicans, Bernie Sanders voted to protect the Minutemen, a hate group that used military tactics against our community.",Vote,"(33, 38)","(18, 32)","(39, 63)","(0, 16)",,,,,
"With Republicans to protect the Minutemen, Bernie Sanders voted, a hate group that used military tactics against our community.",Vote,"(58, 63)","(43, 57)","(17, 41)","(0, 16)",,,,,
"To prevent the Consumer Financial Protection Bureau from regulating payday loans and addressing racial discrimination in car loans, Debbie Wasserman Schultz has voted after taking hundreds of thousands of dollars from Goldman Sachs and other Wall Street banks.",Vote,"(161, 166)","(132, 156)","(0, 130)",,,,,,
"To send terminally ill patients to prison, Debbie Wasserman Schultz voted repeatedly.",Vote,"(68, 73)","(43, 67)","(0, 41)",,,,,,
"To create the Benghazi committee, Patrick Murphy is one of only three Democrats in the House today who voted.",Vote,"(103, 108)","(99, 102)","(0, 32)",,,,,,
"Renee Ellmers, an amendment to prioritize the deportation of sexual criminals who are illegal immigrants, was the only Republican she voted against.",Vote,"(134, 139)","(0, 13)","(15, 104)",,"(140, 147)",,,,
"An amendment to prioritize the deportation of sexual criminals who are illegal immigrants was voted against by Renee Ellmers, who was the only Republican.",Vote,"(94, 99)","(111, 124)","(0, 89)",,"(100, 107)",,,,
An amendment to prioritize the deportation of sexual criminals who are illegal immigrants was voted against by Renee Ellmers.,Vote,"(94, 99)","(111, 124)","(0, 89)",,"(100, 107)",,,,
"Against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants, Renee Ellmers was the only Republican to vote.",Vote,"(140, 144)","(99, 112)","(8, 97)",,"(0, 7)",,,,
"He voted against the Dream Act after telling dreamers that he'll support it, Sen. John McCain.",Vote,"(3, 8)","(0, 2)","(73, 75)",,"(9, 16)",,,,
"The Dream Act, Sen. John McCain voted against it after telling dreamers that he'll support it.",Vote,"(32, 37)","(1, 3)","(46, 48)",,"(38, 45)",,,,
"The Dream Act, he voted against it, after telling dreamers that he 'll support it, Sen. John McCain.",Vote,"(18, 23)","(1, 3)","(32, 34)",,"(24, 31)",,,,
"Against the Dream Act, Sen. John McCain told dreamers that he'll support it, then he voted against it.",Vote,"(85, 90)","(9, 11)","(73, 75)",,"(0, 7)",,,,
Congressman Joe Heck has voted on a variety of important issues with Nancy Pelosi and the Democrats 62 percent of the time.,Vote,"(25, 30)","(0, 20)","(31, 63)","(64, 99)",,,,,"(100, 122)"
Congressman Joe Heck has voted on a variety of important issues 62 percent of the time with Nancy Pelosi and the Democrats.,Vote,"(25, 30)","(0, 20)","(31, 63)","(87, 122)",,,,,"(64, 86)"
Congressman Joe Heck has voted with Nancy Pelosi and the Democrats on a variety of important issues 62 percent of the time.,Vote,"(25, 30)","(0, 20)","(67, 99)","(31, 66)",,,,,"(100, 122)"
"On a variety of important issues, Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats.",Vote,"(59, 64)","(34, 54)","(0, 32)","(88, 123)",,,,,"(65, 87)"
"On a variety of important issues, with Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time. ",Vote,"(96, 101)","(71, 91)","(0, 32)","(34, 69)",,,,,"(102, 124)"
"On a variety of important issues, with Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time.",Vote,"(96, 101)","(71, 91)","(0, 32)","(34, 69)",,,,,"(102, 124)"
"With Nancy Pelosi and the Democrats, Congressman Joe Heck has voted on a variety of important issues 62 percent of the time.",Vote,"(62, 67)","(37, 57)","(68, 100)","(0, 35)",,,,,"(101, 123)"
"With Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time on a variety of important issues.",Vote,"(62, 67)","(37, 57)","(91, 123)","(0, 35)",,,,,"(68, 90)"
"With Nancy Pelosi and the Democrats on a variety of important issues, Congressman Joe Heck has voted 62 percent of the time.",Vote,"(95, 100)","(70, 90)","(36, 68)","(0, 35)",,,,,"(101, 123)"
"62 percent of the time, Congressman Joe Heck has voted on a variety of important issues with Nancy Pelosi and the Democrats.",Vote,"(49, 54)","(24, 44)","(55, 87)","(88, 123)",,,,,"(0, 22)"
"62 percent of the time, Congressman Joe Heck has voted with Nancy Pelosi and the Democrats on a variety of important issues.",Vote,"(49, 54)","(24, 44)","(91, 123)","(55, 90)",,,,,"(0, 22)"
"62 percent of the time on a variety of important issues, Congressman Joe Heck has voted with Nancy Pelosi and the Democrats.",Vote,"(82, 87)","(57, 77)","(23, 55)","(88, 123)",,,,,"(0, 22)"
62 percent of the time on a variety of important issues with Nancy Pelosi and the Democrats has Congressman Joe Heck voted.,Vote,"(117, 122)","(96, 116)","(23, 55)","(56, 91)",,,,,"(0, 22)"
"62 percent of the time, with Nancy Pelosi and the Democrats, Congressman Joe Heck has voted on a variety of important issues.",Vote,"(86, 91)","(61, 81)","(92, 124)","(24, 59)",,,,,"(0, 22)"
"62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues , Congressman Joe Heck has voted.",Vote,"(119, 124)","(94, 114)","(59, 91)","(23, 58)",,,,,"(0, 22)"
"To turn Medicare into a voucher program, Ron Johnson voted.",Vote,"(53, 58)","(41, 52)","(0, 39)",,,,,,
"To allow teenaged boys to shower with your teenaged girls in public school locker rooms, Nevada lawmakers voted.",Vote,"(106, 111)","(89, 105)","(0, 87)",,,,,,
Sen. Bennet votes 98 percent of the time with Obama.,Vote,"(12, 17)","(0, 11)",,"(41, 51)",,,,,"(18, 40)"
"With Obama, Sen. Bennet votes 98 percent of the time.",Vote,"(24, 29)","(12, 23)",,"(0, 10)",,,,,"(30, 52)"
"With Obama 98 percent of the time, Sen. Bennet votes.",Vote,"(47, 52)","(35, 46)",,"(0, 10)",,,,,"(11, 33)"
98 percent of the time Sen. Bennet votes with Obama.,Vote,"(35, 40)","(23, 34)",,"(41, 51)",,,,,"(0, 22)"
"98 percent of the time, with Obama, Sen. Bennet votes.",Vote,"(48, 53)","(36, 47)",,"(24, 34)",,,,,"(0, 22)"
"As a member of the West Miami City Commission, did not vote for tax increases.",Vote,"(55, 59)","(3, 45)","(64, 77)",,"(60, 63)",,,,
To leave was older voters who voted.,Vote,"(30, 35)","(13, 29)","(0, 8)",,,,,,
Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China while serving in the city council.,Vote,"(17, 22)","(0, 16)","(23, 83)",,,,"(84, 117)",,
"To use tax dollars to take a taxpayer-funded junket to China , Rachel Zenzinger voted while serving in the city council.",Vote,"(80, 85)","(63, 79)","(0, 60)",,,,"(86, 119)",,
"To use tax dollars to take a taxpayer-funded junket to China , while serving in the city council, Rachel Zenzinger voted.",Vote,"(115, 120)","(98, 114)","(0, 60)",,,,"(63, 96)",,
"To eliminate it, he voted after Ron Johnson justified his support of trade agreements by saying the U.S. has the Trade Adjustment Assistance program for displaced workers.",Vote,"(20, 25)","(17, 19)","(0, 15)",,,,,,
"When he was in the Illinois state Senate, Barack Obama voted for the very same language of Indiana 's Religious Freedom Restoration Act.",Vote,"(55, 60)","(42, 54)","(65, 135)",,"(61, 64)",,"(0, 40)",,
Russ Feingold voted against authorizing our military 11 separate times as a U.S. senator.,Vote,"(14, 19)","(0, 13)","(28, 52)",,"(20, 27)","(53, 70)",,,
"Authorizing our military, Russ Feingold voted against 11 separate times as a U.S. senator.",Vote,"(40, 45)","(26, 39)","(0, 24)",,"(46, 53)","(54, 71)",,,
Authorizing our military was voted against 11 separate times by U.S. senator Russ Feingold.,Vote,"(29, 34)","(77, 90)","(0, 24)",,"(35, 42)","(43, 60)",,,
"Authorizing our military 11 separate times, Russ Feingold, as a U.S. senator, voted against.",Vote,"(78, 83)","(44, 57)","(0, 24)",,"(84, 91)","(25, 42)",,,
"Authorizing our military 11 separate times, Russ Feingold voted against as a U.S. senator.",Vote,"(58, 63)","(44, 57)","(0, 24)",,"(64, 71)","(25, 42)",,,
"Against authorizing our military 11 separate times, Russ Feingold, as a U.S. senator, voted.",Vote,"(86, 91)","(52, 65)","(8, 32)",,"(0, 7)","(33, 50)",,,
"Against authorizing our military, Russ Feingold voted 11 separate times as a U.S. senator.",Vote,"(48, 53)","(34, 47)","(8, 32)",,"(0, 7)","(54, 71)",,,
"Against authorizing our military 11 separate times , Russ Feingold voted as a U.S. senator.",Vote,"(67, 72)","(53, 66)","(8, 32)",,"(0, 7)","(33, 50)",,,
Against authorizing our military 11 separate times did Russ Feingold vote as a U.S. senator.,Vote,"(69, 73)","(55, 68)","(8, 32)",,"(0, 7)","(33, 50)",,,
"11 separate times, Russ Feingold voted against authorizing our military as a U.S. senator.",Vote,"(33, 38)","(19, 32)","(47, 71)",,"(39, 46)","(0, 17)",,,
"11 separate times , Russ Feingold voted against authorizing our military as a U.S. senator.",Vote,"(34, 39)","(20, 33)","(48, 72)",,"(40, 47)","(0, 17)",,,
"11 separate times, authorizing our military, Russ Feingold, voted against as a U.S. senator.",Vote,"(60, 65)","(45, 58)","(19, 43)",,"(66, 73)","(0, 17)",,,
"11 separate times authorizing our military, Russ Feingold voted against as a U.S. senator.",Vote,"(58, 63)","(44, 57)","(18, 42)",,"(64, 71)","(0, 17)",,,
"11 separate times , against authorizing our military , Russ Feingold voted as a U.S. senator.",Vote,"(69, 74)","(55, 68)","(28, 52)",,"(20, 27)","(0, 17)",,,
"For huge subsidies for the sugar industry as well as for delays in cleanups, Debbie Wasserman Schultz has voted.",Vote,"(106, 111)","(77, 101)","(0, 75)",,,,,,
"Mike Pence, expanding the Children 's Health Insurance program, voted against, which Hillary helped to start.",Vote,"(64, 69)","(0, 10)","(12, 62)",,"(70, 77)",,,,
"Expanding the Children 's Health Insurance program was voted against by Mike Pence, which Hillary helped to start.",Vote,"(55, 60)","(72, 82)","(0, 50)",,"(61, 68)",,,,
"Against expanding the Children's Health Insurance program, Mike Pence voted, which Hillary helped to start.",Vote,"(70, 75)","(59, 69)","(0, 15)",,,,,,
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment.,Vote,"(11, 16)","(0, 10)","(25, 75)",,"(17, 24)",,,,
