og_sentence,frame,target,og_Agent,og_Issue,og_Side,og_Position,og_Frequency,og_Time,og_Place,og_Support_rate,prompt,new_sentence
He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .,Vote,vote,"(0, 2)","(43, 99)",,"(35, 42)",,,,,"Frame: Vote

Sentence: He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .

Frame Elements:
- Agent: He
- Position: against
- Issue: creating a House panel to investigate Planned Parenthood

New order of frame elements: Agent, Issue, Position

","He voted against creating a House panel to investigate Planned Parenthood, despite being the only Republican."
He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .,Vote,vote,"(0, 2)","(43, 99)",,"(35, 42)",,,,,"Frame: Vote

Sentence: He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .

Frame Elements:
- Agent: He
- Position: against
- Issue: creating a House panel to investigate Planned Parenthood

New order of frame elements: Issue, Agent, Position

","Creating a House panel to investigate Planned Parenthood, he was the only Republican to vote against."
He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .,Vote,vote,"(0, 2)","(43, 99)",,"(35, 42)",,,,,"Frame: Vote

Sentence: He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .

Frame Elements:
- Agent: He
- Position: against
- Issue: creating a House panel to investigate Planned Parenthood

New order of frame elements: Issue, Position, Agent

","Creating a House panel to investigate Planned Parenthood was voted against by him, the only Republican."
He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .,Vote,vote,"(0, 2)","(43, 99)",,"(35, 42)",,,,,"Frame: Vote

Sentence: He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .

Frame Elements:
- Agent: He
- Position: against
- Issue: creating a House panel to investigate Planned Parenthood

New order of frame elements: Position, Agent, Issue

","Against creating a House panel to investigate Planned Parenthood, he was the only Republican to vote."
He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .,Vote,vote,"(0, 2)","(43, 99)",,"(35, 42)",,,,,"Frame: Vote

Sentence: He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .

Frame Elements:
- Agent: He
- Position: against
- Issue: creating a House panel to investigate Planned Parenthood

New order of frame elements: Position, Issue, Agent

","Against creating a House panel to investigate Planned Parenthood, he was the only Republican to vote."
Ann Kirkpatrick votes with her party nearly 90 percent of the time .,Vote,votes,"(0, 15)",,"(22, 36)",,,,,"(37, 66)","Frame: Vote

Sentence: Ann Kirkpatrick votes with her party nearly 90 percent of the time .

Frame Elements:
- Agent: Ann Kirkpatrick
- Side: with her party
- Support_rate: nearly 90 percent of the time

New order of frame elements: Agent, Support_rate, Side

","Ann Kirkpatrick, nearly 90 percent of the time, votes with her party."
Ann Kirkpatrick votes with her party nearly 90 percent of the time .,Vote,votes,"(0, 15)",,"(22, 36)",,,,,"(37, 66)","Frame: Vote

Sentence: Ann Kirkpatrick votes with her party nearly 90 percent of the time .

Frame Elements:
- Agent: Ann Kirkpatrick
- Side: with her party
- Support_rate: nearly 90 percent of the time

New order of frame elements: Side, Agent, Support_rate

","Nearly 90 percent of the time, Ann Kirkpatrick votes with her party."
Ann Kirkpatrick votes with her party nearly 90 percent of the time .,Vote,votes,"(0, 15)",,"(22, 36)",,,,,"(37, 66)","Frame: Vote

Sentence: Ann Kirkpatrick votes with her party nearly 90 percent of the time .

Frame Elements:
- Agent: Ann Kirkpatrick
- Side: with her party
- Support_rate: nearly 90 percent of the time

New order of frame elements: Side, Support_rate, Agent

","With her party nearly 90 percent of the time, Ann Kirkpatrick votes."
Ann Kirkpatrick votes with her party nearly 90 percent of the time .,Vote,votes,"(0, 15)",,"(22, 36)",,,,,"(37, 66)","Frame: Vote

Sentence: Ann Kirkpatrick votes with her party nearly 90 percent of the time .

Frame Elements:
- Agent: Ann Kirkpatrick
- Side: with her party
- Support_rate: nearly 90 percent of the time

New order of frame elements: Support_rate, Agent, Side

","Nearly 90 percent of the time, Ann Kirkpatrick votes with her party."
Ann Kirkpatrick votes with her party nearly 90 percent of the time .,Vote,votes,"(0, 15)",,"(22, 36)",,,,,"(37, 66)","Frame: Vote

Sentence: Ann Kirkpatrick votes with her party nearly 90 percent of the time .

Frame Elements:
- Agent: Ann Kirkpatrick
- Side: with her party
- Support_rate: nearly 90 percent of the time

New order of frame elements: Support_rate, Side, Agent

","Nearly 90 percent of the time, with her party, Ann Kirkpatrick votes."
"Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .",Vote,voted,"(0, 14)","(38, 62)","(21, 37)",,,,,,"Frame: Vote

Sentence: Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .

Frame Elements:
- Agent: Bernie Sanders
- Side: with Republicans
- Issue: to protect the Minutemen

New order of frame elements: Agent, Issue, Side

","Bernie Sanders, to protect the Minutemen, a hate group that used military tactics against our community, voted with Republicans."
"Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .",Vote,voted,"(0, 14)","(38, 62)","(21, 37)",,,,,,"Frame: Vote

Sentence: Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .

Frame Elements:
- Agent: Bernie Sanders
- Side: with Republicans
- Issue: to protect the Minutemen

New order of frame elements: Issue, Agent, Side

","To protect the Minutemen, Bernie Sanders voted with Republicans, a hate group that used military tactics against our community."
"Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .",Vote,voted,"(0, 14)","(38, 62)","(21, 37)",,,,,,"Frame: Vote

Sentence: Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .

Frame Elements:
- Agent: Bernie Sanders
- Side: with Republicans
- Issue: to protect the Minutemen

New order of frame elements: Issue, Side, Agent

","To protect the Minutemen, Bernie Sanders sided with Republicans, voting for a hate group that used military tactics against our community."
"Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .",Vote,voted,"(0, 14)","(38, 62)","(21, 37)",,,,,,"Frame: Vote

Sentence: Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .

Frame Elements:
- Agent: Bernie Sanders
- Side: with Republicans
- Issue: to protect the Minutemen

New order of frame elements: Side, Agent, Issue

","With Republicans, Bernie Sanders voted to protect the Minutemen, a hate group that used military tactics against our community."
"Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .",Vote,voted,"(0, 14)","(38, 62)","(21, 37)",,,,,,"Frame: Vote

Sentence: Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .

Frame Elements:
- Agent: Bernie Sanders
- Side: with Republicans
- Issue: to protect the Minutemen

New order of frame elements: Side, Issue, Agent

","With Republicans to protect the Minutemen, Bernie Sanders voted, a hate group that used military tactics against our community."
"After taking hundreds of thousands of dollars from Goldman Sachs and other Wall Street banks , Debbie Wasserman Schultz has voted to prevent the Consumer Financial Protection Bureau from regulating payday loans and addressing racial discrimination in car loans .",Vote,voted,"(95, 119)","(130, 260)",,,,,,,"Frame: Vote

Sentence: After taking hundreds of thousands of dollars from Goldman Sachs and other Wall Street banks , Debbie Wasserman Schultz has voted to prevent the Consumer Financial Protection Bureau from regulating payday loans and addressing racial discrimination in car loans .

Frame Elements:
- Agent: Debbie Wasserman Schultz
- Issue: to prevent the Consumer Financial Protection Bureau from regulating payday loans and addressing racial discrimination in car loans

New order of frame elements: Issue, Agent

","To prevent the Consumer Financial Protection Bureau from regulating payday loans and addressing racial discrimination in car loans, Debbie Wasserman Schultz has voted after taking hundreds of thousands of dollars from Goldman Sachs and other Wall Street banks."
Debbie Wasserman Schultz voted repeatedly to send terminally ill patients to prison .,Vote,voted,"(0, 24)","(42, 83)",,,,,,,"Frame: Vote

Sentence: Debbie Wasserman Schultz voted repeatedly to send terminally ill patients to prison .

Frame Elements:
- Agent: Debbie Wasserman Schultz
- Issue: to send terminally ill patients to prison

New order of frame elements: Issue, Agent

","To send terminally ill patients to prison, Debbie Wasserman Schultz voted repeatedly."
Patrick Murphy is one of only three Democrats in the House today who voted to create the Benghazi committee .,Vote,voted,"(65, 68)","(75, 107)",,,,,,,"Frame: Vote

Sentence: Patrick Murphy is one of only three Democrats in the House today who voted to create the Benghazi committee .

Frame Elements:
- Agent: who
- Issue: to create the Benghazi committee

New order of frame elements: Issue, Agent

","To create the Benghazi committee, Patrick Murphy is one of only three Democrats in the House today who voted."
Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .,Vote,vote,"(0, 13)","(54, 143)",,"(46, 53)",,,,,"Frame: Vote

Sentence: Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .

Frame Elements:
- Agent: Renee Ellmers
- Position: against
- Issue: an amendment to prioritize the deportation of sexual criminals who are illegal immigrants

New order of frame elements: Agent, Issue, Position

","Renee Ellmers, an amendment to prioritize the deportation of sexual criminals who are illegal immigrants, was the only Republican she voted against."
Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .,Vote,vote,"(0, 13)","(54, 143)",,"(46, 53)",,,,,"Frame: Vote

Sentence: Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .

Frame Elements:
- Agent: Renee Ellmers
- Position: against
- Issue: an amendment to prioritize the deportation of sexual criminals who are illegal immigrants

New order of frame elements: Issue, Agent, Position

","An amendment to prioritize the deportation of sexual criminals who are illegal immigrants was voted against by Renee Ellmers, who was the only Republican."
Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .,Vote,vote,"(0, 13)","(54, 143)",,"(46, 53)",,,,,"Frame: Vote

Sentence: Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .

Frame Elements:
- Agent: Renee Ellmers
- Position: against
- Issue: an amendment to prioritize the deportation of sexual criminals who are illegal immigrants

New order of frame elements: Issue, Position, Agent

",An amendment to prioritize the deportation of sexual criminals who are illegal immigrants was voted against by Renee Ellmers.
Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .,Vote,vote,"(0, 13)","(54, 143)",,"(46, 53)",,,,,"Frame: Vote

Sentence: Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .

Frame Elements:
- Agent: Renee Ellmers
- Position: against
- Issue: an amendment to prioritize the deportation of sexual criminals who are illegal immigrants

New order of frame elements: Position, Agent, Issue

","Against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants, Renee Ellmers was the only Republican to vote."
Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .,Vote,vote,"(0, 13)","(54, 143)",,"(46, 53)",,,,,"Frame: Vote

Sentence: Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .

Frame Elements:
- Agent: Renee Ellmers
- Position: against
- Issue: an amendment to prioritize the deportation of sexual criminals who are illegal immigrants

New order of frame elements: Position, Issue, Agent

","Against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants, Renee Ellmers was the only Republican to vote."
"Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .",Vote,voted,"(72, 74)","(89, 91)",,"(81, 88)",,,,,"Frame: Vote

Sentence: Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .

Frame Elements:
- Agent: he
- Position: against
- Issue: it

New order of frame elements: Agent, Issue, Position

","He voted against the Dream Act after telling dreamers that he'll support it, Sen. John McCain."
"Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .",Vote,voted,"(72, 74)","(89, 91)",,"(81, 88)",,,,,"Frame: Vote

Sentence: Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .

Frame Elements:
- Agent: he
- Position: against
- Issue: it

New order of frame elements: Issue, Agent, Position

","The Dream Act, Sen. John McCain voted against it after telling dreamers that he'll support it."
"Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .",Vote,voted,"(72, 74)","(89, 91)",,"(81, 88)",,,,,"Frame: Vote

Sentence: Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .

Frame Elements:
- Agent: he
- Position: against
- Issue: it

New order of frame elements: Issue, Position, Agent

","The Dream Act, he voted against it, after telling dreamers that he 'll support it, Sen. John McCain."
"Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .",Vote,voted,"(72, 74)","(89, 91)",,"(81, 88)",,,,,"Frame: Vote

Sentence: Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .

Frame Elements:
- Agent: he
- Position: against
- Issue: it

New order of frame elements: Position, Agent, Issue

","Against the Dream Act, Sen. John McCain told dreamers that he'll support it, then he voted against it."
"Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .",Vote,voted,"(72, 74)","(89, 91)",,"(81, 88)",,,,,"Frame: Vote

Sentence: Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .

Frame Elements:
- Agent: he
- Position: against
- Issue: it

New order of frame elements: Position, Issue, Agent

","Against the Dream Act, Sen. John McCain told dreamers that he'll support it, then he voted against it."
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Agent, Issue, Side, Support_rate

",Congressman Joe Heck has voted on a variety of important issues with Nancy Pelosi and the Democrats 62 percent of the time.
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Agent, Issue, Support_rate, Side

",Congressman Joe Heck has voted on a variety of important issues 62 percent of the time with Nancy Pelosi and the Democrats.
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Agent, Side, Issue, Support_rate

",Congressman Joe Heck has voted with Nancy Pelosi and the Democrats on a variety of important issues 62 percent of the time.
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Agent, Side, Support_rate, Issue

",Congressman Joe Heck has voted with Nancy Pelosi and the Democrats on a variety of important issues 62 percent of the time.
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Agent, Support_rate, Issue, Side

",Congressman Joe Heck has voted with Nancy Pelosi and the Democrats on a variety of important issues 62 percent of the time.
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Issue, Agent, Side, Support_rate

","On a variety of important issues, Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats."
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Issue, Agent, Support_rate, Side

","On a variety of important issues, Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats."
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Issue, Side, Agent, Support_rate

","On a variety of important issues, with Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time. "
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Issue, Side, Support_rate, Agent

","On a variety of important issues, with Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time."
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Issue, Support_rate, Agent, Side

","On a variety of important issues, Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats."
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Issue, Support_rate, Side, Agent

","On a variety of important issues, Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats."
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Side, Agent, Issue, Support_rate

","With Nancy Pelosi and the Democrats, Congressman Joe Heck has voted on a variety of important issues 62 percent of the time."
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Side, Agent, Support_rate, Issue

","With Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time on a variety of important issues."
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Side, Issue, Agent, Support_rate

","With Nancy Pelosi and the Democrats on a variety of important issues, Congressman Joe Heck has voted 62 percent of the time."
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)","Frame: Vote

Sentence: Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .

Frame Elements:
- Agent: Congressman Joe Heck
- Support_rate: 62 percent of the time
- Side: with Nancy Pelosi and the Democrats
- Issue: on a variety of important issues

New order of frame elements: Side, Issue, Support_rate, Agent

","With Nancy Pelosi and the Democrats on a variety of important issues, Congressman Joe Heck has voted 62 percent of the time."
